iter	R2	MAPE
0	-0.1398306099	0.1737542214
1	-0.134593033	0.1731065401
2	-0.1259571925	0.1726189839
3	-0.1197213785	0.1721128045
4	-0.1107906049	0.1713033866
5	-0.101760635	0.1704807904
6	-0.09289471292	0.1697900932
7	-0.08111650532	0.1689454788
8	-0.07424556962	0.1686570423
9	-0.06694365157	0.1678741091
10	-0.05445435309	0.1668812908
11	-0.05121537784	0.1664545163
12	-0.0457519272	0.1657401816
13	-0.03239184663	0.1645754939
14	-0.01998954716	0.1637085173
15	-0.01021568063	0.1627335432
16	-0.004298226723	0.1618490594
17	-0.001816984885	0.1614527515
18	0.008204558884	0.1604379057
19	0.01145996073	0.1600420096
20	0.0178788961	0.1590923392
21	0.02686414354	0.1581860557
22	0.03543875422	0.1571691023
23	0.04589345199	0.156546538
24	0.04760275231	0.1562928309
25	0.05250117953	0.1556624151
26	0.05909267573	0.1552018638
27	0.07315275852	0.1543208855
28	0.084658873	0.1535360725
29	0.09021767144	0.1529231034
30	0.09897745944	0.1525341005
31	0.1058731881	0.1516500005
32	0.1118365179	0.1509736159
33	0.1184494031	0.1502479786
34	0.1303694644	0.1494999388
35	0.132922285	0.1490991612
36	0.1391969145	0.1484536119
37	0.1421686105	0.1479779512
38	0.1472084053	0.1472646739
39	0.1540844493	0.1469080008
40	0.1593162372	0.1461510126
41	0.1688608626	0.1454812432
42	0.1737086034	0.1448522751
43	0.1858283093	0.1439747161
44	0.1964254129	0.1431313403
45	0.2056115742	0.1425724413
46	0.215224123	0.1415500091
47	0.2209054261	0.1409416169
48	0.2320183747	0.140115138
49	0.2381515554	0.1397805702
50	0.2421808122	0.1393873071
51	0.2520929163	0.1385937605
52	0.2627454096	0.137951172
53	0.2688640276	0.1372989964
54	0.2736999555	0.1366076579
55	0.2827060055	0.1360515463
56	0.2844351864	0.1356717841
57	0.2903922096	0.1348623629
58	0.2904038047	0.1348587731
59	0.3015878568	0.1338636966
60	0.3070443193	0.1331828418
61	0.3076345616	0.1331013641
62	0.3095492537	0.1328335388
63	0.3109747327	0.1325831321
64	0.3204406115	0.1319741466
65	0.329924197	0.1313487717
66	0.3355763882	0.1306889189
67	0.3403354503	0.130069947
68	0.3431169191	0.1294510272
69	0.3494058098	0.1287588852
70	0.3532464107	0.1281323926
71	0.3631083067	0.12746551
72	0.3657153372	0.1269096928
73	0.3675984057	0.1265881624
74	0.3743385767	0.126108546
75	0.3743706478	0.126103031
76	0.3838258954	0.1253939877
